id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts290643,Super Crooks,SHOW,2021,TV-MA,30,"['scifi', 'drama', 'animation', 'action', 'crime', 'fantasy']",['JP'],1,tt14272628,7.1,2740,5.88,6.6
ts269493,Headspace Guide to Meditation,SHOW,2021,TV-G,22,"['animation', 'documentation']",['US'],1,tt13617024,8.4,1713,7.564,7.833
tm1137862,Four to Dinner,MOVIE,2022,,104,"['romance', 'comedy']",['IT'],,tt14247286,6.3,3503,12.535,6.2
tm1080252,7 Prisoners,MOVIE,2021,R,93,"['drama', 'crime']",['BR'],,tt14168118,7.1,8071,23.921,7.11
ts321254,Yeh Kaali Kaali Ankhein,SHOW,2022,TV-MA,40,"['thriller', 'drama', 'action', 'comedy', 'crime', 'romance']",['IN'],1,tt14160712,7,8076,5.751,6.2
ts258358,The Life and Movies of ErÅŸan Kuneri,SHOW,2022,TV-MA,49,['comedy'],['TR'],2,tt13238304,6.7,13804,4.801,7.4
tm847430,Words Bubble Up Like Soda Pop,MOVIE,2021,PG,88,['drama'],['JP'],,,,,35.825,7.438
tm1001108,Biggie: I Got a Story to Tell,MOVIE,2021,R,97,"['music', 'documentation']",['US'],,tt14058484,6.8,5265,8.789,7.252
ts297483,Hometown Cha-Cha-Cha,SHOW,2021,TV-14,78,"['romance', 'comedy', 'drama']",['KR'],1,tt14518756,8.4,14258,62.818,8.187
ts368341,StoryBots: Answer Time,SHOW,2022,TV-Y,20,"['family', 'animation', 'comedy']",['US'],1,tt22097692,7.6,52,17.501,6.667
ts314395,The Motive,SHOW,2021,,35,"['crime', 'documentation']",[],1,tt15529566,5.2,1634,6.658,5.1
tm1263048,Nitham Oru Vaanam,MOVIE,2022,,146,"['thriller', 'drama']",['IN'],,tt15568760,7.3,1454,2.099,6.75
tm841825,My Little Pony: A New Generation,MOVIE,2021,PG,91,"['comedy', 'animation', 'fantasy', 'drama', 'scifi', 'family', 'action']","['CA', 'IE']",,tt10101702,6.8,4032,30.955,7.824
tm525645,Fear Street: Part One - 1994,MOVIE,2021,,107,"['drama', 'horror', 'thriller']",['US'],,tt6566576,6.2,84442,49.33,6.738
tm1177856,Without Saying Goodbye,MOVIE,2022,,96,"['romance', 'comedy']","['ES', 'PE']",,tt14404596,5.8,2914,20.263,7.265
ts255486,Godzilla Singular Point,SHOW,2021,TV-14,25,"['scifi', 'action', 'animation', 'thriller']",['JP'],1,tt13229964,6.5,1849,15.349,7.2
ts305732,Metal Shop Masters,SHOW,2021,TV-MA,35,['reality'],['US'],1,tt15216520,5.7,627,3.068,6.2
ts367192,Teletubbies,SHOW,2022,TV-Y,16,"['animation', 'family', 'fantasy']",['US'],1,tt22012456,5.4,103,43.52,7.4
tm878842,The Edge of All We Know,MOVIE,2021,,99,['documentation'],['US'],,tt11863046,6.6,2797,9.608,6.819
ts352881,Di4ries,SHOW,2022,TV-PG,28,"['comedy', 'drama', 'family', 'romance']",['IT'],1,tt20449034,7,461,13.404,6.6
tm1185388,The Turning Point,MOVIE,2022,,90,"['drama', 'crime']",['IT'],,tt14140844,6.2,845,6.284,6.5
ts288744,The Sound of Magic,SHOW,2022,TV-14,69,"['drama', 'scifi', 'fantasy', 'music']",['KR'],1,tt14460684,7.6,3954,26.912,7.6
ts301914,Inspector Koo,SHOW,2021,TV-14,69,"['crime', 'action', 'comedy', 'thriller']",['KR'],1,tt14731794,7.1,817,12.836,7.4
tm1165118,UFO,MOVIE,2022,,109,"['romance', 'drama', 'documentation']",['TR'],,tt14369286,4.8,1018,12.117,6.2
tm1038327,Beckett,MOVIE,2021,R,109,"['thriller', 'drama', 'action', 'crime']","['BR', 'IT']",,tt10230994,5.7,26899,24.695,6.3
tm898614,Sweet Girl,MOVIE,2021,R,110,"['drama', 'thriller', 'action']",['US'],,tt10731768,5.5,33014,41.818,6.727
tm1207098,Amy Schumer Presents: Parental Advisory,MOVIE,2022,R,57,"['comedy', 'documentation']",[],,tt20723730,4.1,748,5.232,4.7
tm1266639,Call the Police,MOVIE,2022,,59,"['comedy', 'documentation']",[],,tt22184628,3.8,135,3.089,2
tm1091823,Boomika,MOVIE,2021,,122,"['horror', 'thriller']",['IN'],,tt11073148,5.2,2621,2.169,5.75
ts273485,Baki Hanma,SHOW,2021,TV-MA,24,"['sport', 'thriller', 'animation', 'action', 'drama']",['JP'],2,tt13357140,6.7,2198,91.351,8.132
tm1084481,Blood Brothers: Malcolm X & Muhammad Ali,MOVIE,2021,PG-13,95,"['sport', 'documentation', 'history']",['US'],,tt15095938,6.9,1063,7.502,7.3
tm1114038,Mako,MOVIE,2021,,91,"['drama', 'thriller']",['EG'],,,,,7.256,5.714
tm979688,Homunculus,MOVIE,2021,,119,"['drama', 'thriller', 'fantasy']",['JP'],,tt14404280,5.5,3174,13.18,5.994
tm1239645,That's Amor,MOVIE,2022,PG-13,96,"['romance', 'comedy']",['US'],,tt21388556,5.3,3142,13.12,5.1
